REGISTARSKI_BROJ;DATUM_UPISA;NAZIV;SKRACENI_NAZIV;SJEDISTE;OSOBE;OIB;STATUS
159;09.09.03;HRVATSKA RADNIČKA STRANKA;HRS;Ulica kralja Zvonimira 15a, Samobor;Novosel Mladen - PREDSJEDNIK - predstavlja i zastupa;36281215365;AKTIVNA
166;28.01.04;ZAGORSKA STRANKA;ZS;Matije Gupca 53, Zabok;Jerneić Miljenko - PREDSJEDNIK - predstavlja i zastupa;80505604089;AKTIVNA
171;22.07.04;DEMOKRATSKA STRANKA ŽENA;DSŽ;Dinarska 39, Zagreb;Jelinčić Marija - PREDSJEDNIK - predstavlja i zastupa;27223591444;AKTIVNA
174;08.11.04;SOCIJALISTIČKA PARTIJA HRVATSKE;SPH;Modre rijeke 15, Zagreb;Šipov Dejan - PREDSJEDNIK - predstavlja i zastupa;18440010529;AKTIVNA
176;22.02.05;AKCIJA MLADIH;AM;Ciottina 19, Rijeka;Rubeša Vjekoslav - PREDSJEDNIK - predstavlja i zastupa: Buković Darjan - POTPREDSJEDNIK - predstavlja i zastupa: Rubeša Ante - POTPREDSJEDNIK - predstavlja i zastupa: Kurelić Bojan - GLAVNI TAJNIK - predstavlja i zastupa;17604594468;AKTIVNA
179;30.03.05;MEĐIMURSKI DEMOKRATSKI SAVEZ;MDS;Josipa Jurja Strossmayera 9, Čakovec;Pavlic Željko - PREDSJEDNIK - predstavlja i zastupa;22716317556;AKTIVNA
182;06.04.05;ALTERNATIVA;;Ciottina 19, Rijeka;Simonič Bojan - PREDSJEDNIK - predstavlja i zastupa;;AKTIVNA
189;21.06.06;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE;HDSSB;Trg Lava Mirskog 1/I, Osijek;Glavaš Branimir - PREDSJEDNIK - predstavlja i zastupa;37050651240;AKTIVNA
190;08.12.06;LISTA ZA RIJEKU;RI;Žrtava fašizma 2, Rijeka;Švorinić Danko - PREDSJEDNIK - predstavlja i zastupa: Basic Sandi - DOPREDSJEDNIK - predstavlja i zastupa;03376628315;AKTIVNA
192;14.03.07;HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ;HSS BRAĆE RADIĆ;Rakovčeva 10, Zagreb;Grčić Stanko - PREDSJEDNIK - predstavlja i zastupa;36114066915;AKTIVNA
194;27.04.07;HRVATSKA STRANKA PRAVNE DRŽAVE;HSPD;Pejačevićeva 5, Virovitica;Prpić Siniša - PREDSJEDNIK - predstavlja i zastupa;56694372533;AKTIVNA
195;09.05.07;JEDINO HRVATSKA - POKRET ZA HRVATSKU;JEDINO HRVATSKA;Klanječka 60, Zagreb;Šibl Milovan - PREDSJEDNIK - predstavlja i zastupa;43647783176;AKTIVNA
200;24.07.08;SPLITSKA STRANKA UMIROVLJENIKA;SSU;Šetalište Bačvice 10, Split;Kovačić Ratko - PREDSJEDNIK - predstavlja i zastupa;18690517883;AKTIVNA
201;28.11.08;BOŠNJAČKA DEMOKRATSKA STRANKA HRVATSKE;BDSH;Radna zona Zegoti bb, Kastav;Hodžić Nedžad - PREDSJEDNIK - predstavlja i zastupa;39202199526;AKTIVNA
203;04.03.09;POPRAVI GRAD - NOVA GENERACIJA;PG - NG;Lazarica 20, Split;Zoričić Ante - PREDSJEDNIK - predstavlja i zastupa;90654406562;AKTIVNA
204;16.03.09;NOVA SRPSKA STRANKA;NSS;Olajnica 19, Vukovar;Lađarević Svetislav - PREDSJEDNIK - predstavlja i zastupa;77799192134;AKTIVNA
207;08.04.09;DEMOKRATSKA PARTIJA SRBA;DPS;Preradovićeva 18, Zagreb;Kojadinović Mitar - PREDSJEDNIK - predstavlja i zastupa;40735782120;AKTIVNA
208;10.04.09;PAŠKA STRANKA - PAG;PSP;Marka Laura Ruića 9, Pag;Maržić Željko - PREDSJEDNIK - predstavlja i zastupa;09837792562;AKTIVNA
211;15.10.09;HRVATSKA STRANKA PRAVA DR. ANTE STARČEVIĆ;HSP AS;Čulinečka 119, Zagreb;Niče Hrvoje - PREDSJEDNIK - predstavlja i zastupa;72355713477;AKTIVNA
212;15.10.09;ŽELJKO KERUM - HRVATSKA GRAĐANSKA STRANKA;HGS;Obala hrvatskog narodnog preporoda 5, Split;Kerum Željko - PREDSJEDNIK - predstavlja i zastupa;28046181108;AKTIVNA
213;26.10.09;HRVATSKA KRŠĆANSKA DEMOKRATSKA UNIJA;HKDU;Tkalčićeva 4/1, Zagreb;Golubić Dean - PREDSJEDNIK - predstavlja i zastupa;29585393140;AKTIVNA
214;13.11.09;STRANKA HRVATSKOG ZAJEDNIŠTVA;SHZ;Đure Basaričeka 12, Zadar;Marić Miljenko - PREDSJEDNIK - predstavlja i zastupa: Draženović Ljiljana - ZAMJENIK PREDSJEDNIKA - predstavlja i zastupa;36372094522;AKTIVNA
215;31.03.10;HRVATSKI LABURISTI - STRANKA RADA;LABURISTI;Ilica 108, Zagreb;Bregovac David - PREDSJEDNIK - predstavlja i zastupa;95623108508;AKTIVNA
216;30.11.10;STRANKA UMIROVLJENIKA HRVATSKE - BLOK UMIROVLJENICI ZAJEDNO;SUH;Kruge 48, Zagreb;Markanović Franjo Emil - PREDSJEDNIK - predstavlja i zastupa;26425222057;AKTIVNA
217;06.12.10;BLOK UMIROVLJENICI ZAJEDNO;BUZ;Hebrangova 5, Zagreb;Špika Milivoj - PREDSJEDNIK - predstavlja i zastupa;55311208535;AKTIVNA
218;12.01.11;HRVATSKI RAST;HRAST;Vlaška 46, Zagreb;Markić Željka - PREDSJEDNIK - predstavlja i zastupa;04672131741;AKTIVNA
221;02.05.11;SABOR HRVATSKIH ROMA;;Zadarska 93, Zagreb;Hasanović Sead Braco - PREDSJEDNIK - predstavlja i zastupa;92613235160;AKTIVNA
223;20.05.11;AGENDA MLADIH DEMOKRATA;AMD;Vida Došena 30, Zagreb;Kindij Igor - PREDSJEDNIK - predstavlja i zastupa: Krnić Darko - ZAMJENIK PREDSJEDNIKA - predstavlja i zastupa;89916820752;AKTIVNA
226;02.06.11;ŽIVI ZID;;Savska cesta 41, Zagreb;Sinčić Ivan Vilibor - PREDSJEDNIK - predstavlja i zastupa;84052989092;AKTIVNA
232;14.12.11;POKRET ZA MODERNU HRVATSKU;;Zagorska 18, Zagreb;Gašparović Damir - PREDSJEDNIK - predstavlja i zastupa;31526120662;AKTIVNA
233;20.03.12;HRVATSKA DEMOKRATSKA REGIONALNA STRANKA;HDRS;Braće Kunert 33, Petrinja;Hrupački Anđelko - PREDSJEDNIK - predstavlja i zastupa;74346746412;AKTIVNA
234;07.04.12;PLOČANSKA STRANKA;PLS;Vladimira Nazora 43, Ploče;Barbir Ranko - PREDSJEDNIK - predstavlja i zastupa;98241611798;AKTIVNA
235;08.05.12;ISTARSKA STRANKA UMIROVLJENIKA - PARTITO ISTRIANO DEI PENSIONATI;ISU - PIP;Radnička ulica 5, Pula;Pliško Zdenko - PREDSJEDNIK - predstavlja i zastupa;57104226919;AKTIVNA
236;09.05.12;HRVATSKA DEMOKRATSKA STRANKA DALMACIJE;HDSD;Sedam Kaštela 6, Split;Gabela Boris - PREDSJEDNIK - predstavlja i zastupa;74341494880;AKTIVNA
237;28.05.12;LIBURNIJSKA STRANKA;LIST;Ulica Rikarda Katalinića Jeretova 29, Opatija;Pažin Nikica - PREDSJEDNIK - predstavlja i zastupa: Krivokuća Vilma - POTPREDSJEDNIK - predstavlja i zastupa: Tominić Christian - POTPREDSJEDNIK - predstavlja i zastupa: Lesinger Tomislav - GLAVNI TAJNIK - predstavlja i zastupa;63409284950;AKTIVNA
240;24.07.12;DALMATINSKI DEMOKRATI;DD;Poljička cesta 15, Split;Matijević Jadranka - PREDSJEDNIK - predstavlja i zastupa;58323439949;AKTIVNA
242;23.11.12;NEZAVISNI SELJACI HRVATSKE;NSH;Miramarska 13b, Zagreb;Mlinarić Mato - PREDSJEDNIK - predstavlja i zastupa: Novotny Vladimir - GLAVNI TAJNIK - predstavlja i zastupa;88321807980;AKTIVNA
244;07.12.12;DUBROVAČKI DEMOKRATSKI SABOR;DDS;Od Sv. Mihajla 12, Dubrovnik;Vićan Pero - PREDSJEDNIK - predstavlja i zastupa;69505550242;AKTIVNA
245;25.01.13;MOST NEZAVISNIH LISTA;MOST;Splitska  4, Metković;Petrov Božo - PREDSJEDNIK - predstavlja i zastupa;67345817198;AKTIVNA
246;30.01.13;HRAST - POKRET ZA USPJEŠNU HRVATSKU;;Optujska 101, Varaždin;Ilčić Ladislav - PREDSJEDNIK - predstavlja i zastupa;18488933018;AKTIVNA
247;08.02.13;AKCIJA UMIROVLJENICI ZAJEDNO;AUZ;Obala Vladimira Mažuranića 2, Karlovac;Križanić Darko - PREDSJEDNIK - predstavlja i zastupa;33971013706;AKTIVNA
248;21.02.13;LOZA NEZAVISNA LISTA;LOZA;Stjepana Radića 56a, Šibenik;Ledenko Ivica - PREDSJEDNIK - predstavlja i zastupa;69002163891;AKTIVNA
249;12.03.13;NEZAVISNA LISTA STIPE PETRINA;NLSP;Rupe 11, Primošten;Petrina Stipe - PREDSJEDNIK - predstavlja i zastupa;23924878047;AKTIVNA
251;22.03.13;DEMOKRATSKI SAVEZ NACIONALNE OBNOVE;DESNO;Ulica Stjepana Radića 30, Osijek;Đapić Anto - PREDSJEDNIK - predstavlja i zastupa;31632723805;AKTIVNA
252;27.03.13;ZA GRAD;;Jurkovićeva 17, Zagreb;Jančić Svibor - SUPREDSJEDNIK - predstavlja i zastupa: Zenko Milović Jelena - SUPREDSJEDNIK - predstavlja i zastupa;49649095888;AKTIVNA
254;05.04.13;GLAS ZAPREŠIĆA - NEZAVISNA LISTA;GZ;Trg mladosti 4, Zaprešić;Baća Dario - PREDSJEDNIK - predstavlja i zastupa;89352243699;AKTIVNA
255;11.04.13;MAKSIMIRSKA GRAĐANSKA INICIJATIVA - ZAJEDNO;MGI - ZAJEDNO;Srebrnjak 55, Zagreb;Palatinuš Ivica - PREDSJEDNIK - predstavlja i zastupa;82005422007;AKTIVNA
256;11.04.13;AKCIJA BJELOVARSKO - BILOGORSKA;ABB;Masarykova 8, Bjelovar;Henc Zdenka - PREDSJEDNIK - predstavlja i zastupa;29877855914;AKTIVNA
261;18.10.13;KOMUNISTIČKA PARTIJA HRVATSKE;KPH;Trg Marije i Line 1, Umag;Ilić Radoslav - PREDSJEDNIK - predstavlja i zastupa;96323756770;AKTIVNA
262;06.11.13;HRVATSKA STRANKA REDA;HSR;Gajeva 112, Novigrad Podravski;Duga Ana - POTPREDSJEDNIK - predstavlja i zastupa: Duga Darko - PREDSJEDNIK - predstavlja i zastupa;88839344284;AKTIVNA
263;25.11.13;ODRŽIVI RAZVOJ HRVATSKE;ORAH;Ilica 48, Zagreb;Končić Slaven - POSLOVNI DIREKTOR - zastupa: Novak Mladen - PREDSJEDNIK - predstavlja i zastupa;57106771128;AKTIVNA
264;13.01.14;UMIROVLJENIČKA DEMOKRATSKA UNIJA;UDU;Medcestama 16, Gornji Stupnik;Dundović Dalibor - PREDSJEDNIK - predstavlja i zastupa;85384556930;AKTIVNA
266;13.03.14;UJEDINJENA STRANKA PRAVA;USP;Ljubijska 44, Zagreb;Artuković Krešimir Marko - PREDSJEDNIK - predstavlja i zastupa;27860865942;AKTIVNA
267;19.05.14;DOMOVINA;;Naselje Andrije Hebranga 8/3, Slavonski Brod;Šola Karlo - PREDSJEDNIK - predstavlja i zastupa: Prižmić Miroslav - ZAMJENIK PREDSJEDNIKA - predstavlja i zastupa: Grgurević Tomislav - POTPREDSJEDNIK - predstavlja i zastupa;91141713192;AKTIVNA
269;16.06.14;HRVATSKA STRANKA PRAVAŠKOG BRATSTVA;HSPB;Matetić Rangovljeva 28, Zagreb;Jozić Ante - PREDSJEDNIK - predstavlja i zastupa;79006262379;AKTIVNA
270;20.06.14;ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI;ID - DI;Muntriljska bb, Pazin;KAJIN DAMIR - PREDSJEDNIK - predstavlja i zastupa: RUŽIĆ BRANKO - GENERALNI TAJNIK - predstavlja i zastupa;47423925090;AKTIVNA
271;30.06.14;SRPSKA PRAVEDNA STRANKA;SPS;Kikićeva 5, Zagreb;Vlahović Nenad - PREDSJEDNIK - predstavlja i zastupa;83685536025;AKTIVNA
272;08.07.14;BUDNICA HRVATSKA - ZAJEDNICA BOSANSKIH HRVATA;BH - ZBH;Lovački put 1a, Zagreb;Martinović Dragan - PREDSJEDNIK - predstavlja i zastupa;76428226175;AKTIVNA
273;21.07.14;BRANITELJSKO DOMOLJUBNA STRANKA HRVATSKE;BDSH;Ružmarnka 19, Zagreb;Velat Zlata - PREDSJEDNIK - predstavlja i zastupa;35099854611;AKTIVNA
274;16.09.14;GRAĐANSKA OPCIJA GRADA OSIJEKA;GOGO;Dubrovačka 13, Osijek;Vanek Miroslav - PREDSJEDNIK - predstavlja i zastupa;63767332979;AKTIVNA
275;13.10.14;NARODNA STRANKA - REFORMISTI;REFORMISTI;Pavla Hatza 12, Zagreb;Čačić Radimir - PREDSJEDNIK - predstavlja i zastupa;18468070483;AKTIVNA
276;30.10.14;POKRET ZAJEDNO;PZ;Taborska 17, Zagreb;Hromin Sturm Karino - PREDSJEDNIK - predstavlja i zastupa;00521288836;AKTIVNA
277;15.12.14;HRVATSKA KONZERVATIVNA STRANKA;HKS;Gojlanska 17, Zagreb;Bevanda Denis - GLAVNI TAJNIK - predstavlja i zastupa: Pavliček Marijan - PREDSJEDNIK - predstavlja i zastupa;67244775517;AKTIVNA
278;11.02.15;ZELINSKI LABURISTI - STRANKA PRIGORJA;ZL;Trg Ante Starčevića 13/2, Sveti Ivan Zelina;Žilavec Dubravko - PREDSJEDNIK - predstavlja i zastupa;67794410308;AKTIVNA
280;20.03.15;RADNIČKA FRONTA;RF;T. Ujevića 22, Zagreb;Kosić Draženka - ČLAN UPRAVNOG TIJELA - predstavlja i zastupa: Cikota Zvjezdana - ČLAN STRANKE - predstavlja i zastupa: Geto Denis - ČLAN STRANKE;36018590831;AKTIVNA
282;24.04.15;SAVEZ KOMUNISTA HRVATSKE;SKH;V. Njivice 14, Zagreb;Lazar Zvjezdana - PREDSJEDNIK - predstavlja i zastupa;90829719738;AKTIVNA
283;24.04.15;"""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI""";"""STRANKA RADA I SOLIDARNOSTI""";Praška 2, Zagreb;Bandić Milan - PREDSJEDNIK - predstavlja i zastupa: Kojić Slavko - POSLOVNI DIREKTOR - zastupa;72454645041;AKTIVNA
284;04.05.15;STRANKA BOŠNJAKA HRVATSKE;SBH;Ulica Ivana Mažuranića br. 8, Sisak;Avdić Alija - PREDSJEDNIK - predstavlja i zastupa;45867770626;AKTIVNA
285;02.06.15;STRANKA RAZVOJA I NAPRETKA;SRNA;Žrtava fašizma 2, Čabar;Vesel Leonard - PREDSJEDNIK - predstavlja i zastupa;25588993986;AKTIVNA
286;19.06.15;NAPRIJED HRVATSKA! - PROGRESIVNI SAVEZ;NAPRIJED HRVATSKA!;Pavla Hatza 12, Zagreb;Josipović Ivo - PREDSJEDNIK - predstavlja i zastupa: Petek Renato - GLAVNI TAJNIK - zastupa;14941570500;AKTIVNA
287;21.07.15;DUBROVAČKA STRANKA;DUSTRA;Josipa Kosora 30, Dubrovnik;Raguž Željko - PREDSJEDNIK - predstavlja i zastupa;72323584368;AKTIVNA
288;22.07.15;MODELI ALTRUIZMA U POLITICI;MAP;Josipa Kuševića 5, Zagreb;Karačić Branimir - PREDSJEDNIK IZVRŠNOG ODBORA - predstavlja i zastupa;04568504019;AKTIVNA
289;22.07.15;STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI;UMIROVLJENICI;Pavla Hatza 12, Zagreb;Košiša Čičin-Šain Alenka - PREDSJEDNIK - predstavlja i zastupa;17765565660;AKTIVNA
290;20.08.15;PAMETNO;;Gundulićeva 26a, Split;Puljak Marijana - PREDSJEDNIK - predstavlja i zastupa;42956743890;AKTIVNA
291;10.09.15;PROJEKT DOMOVINA;;Ulica kralja Zvonimira 17, Zagreb;Barun Mate - PREDSJEDNIK - predstavlja i zastupa;98019312130;AKTIVNA
292;25.09.15;AKTIVNI BRANITELJI I UMIROVLJENICI HRVATSKE;ABU HRVATSKE;Trg bana Jelačića 3, Osijek;Balaž Kristijan - PREDSJEDNIK - predstavlja i zastupa;91789771368;AKTIVNA
293;01.10.15;ZELENI FORUM;ZF;Stjepana i Antuna Radića 37, Sisak;Harcet Mira - PREDSJEDNIK - predstavlja i zastupa: Kiš Arpad - GLAVNI TAJNIK - predstavlja i zastupa;27156001282;AKTIVNA
294;02.10.15;HRVATSKA DEMOKRATSKA STRANKA;HDS;Šubićeva 55, Zagreb;Bobinac Nina - PREDSJEDNIK - predstavlja i zastupa;72423088185;AKTIVNA
295;25.11.15;HRVATSKA INICIJATIVA ZA DIJALOG;HRID;Massarykova 22, Zagreb;Kovar Martin - PREDSJEDNIK - predstavlja i zastupa;60697900390;AKTIVNA
296;25.11.15;ISTARSKI LABURISTI;IL;Muntić 32, Pula;Radešić Mario - PREDSJEDNIK - predstavlja i zastupa;41198662396;AKTIVNA
297;17.02.16;STRANKA HRVATSKI VIDIK;SHV;Siget 11, Zagreb;Kalin Krešimir - PREDSJEDNIK - predstavlja i zastupa;45534720253;AKTIVNA
298;18.04.16;NEZAVISNA LISTA MLADIH;NLM;Tina Ujevića 3, Vrgorac;Pranić Ante - PREDSJEDNIK - predstavlja i zastupa;48084908034;AKTIVNA
299;02.05.16;SLOBODNA HRVATSKA;SH;Davora Zbiljskog 3, Zagreb;Galović Danijel - SUPREDSJEDNIK - predstavlja i zastupa: Rogina Damir-Kristijan - SUPREDSJEDNIK - predstavlja i zastupa: Pokupec Ivan - SUPREDSJEDNIK - predstavlja i zastupa;43737734423;AKTIVNA
300;10.05.16;HRVATSKA STRANKA DEMOKRATA;HSD;Tadije Smičiklasa 31, Petrinja;Radoš Tihomir - PREDSJEDNIK - predstavlja i zastupa;68444048964;AKTIVNA
301;18.05.16;HRVATSKA STRANKA SVIH ČAKAVACA KAJKAVACA I ŠTOKAVACA;HSSČKŠ;Braće Domani 8, Zagreb;Babić Nedjeljko - PREDSJEDNIK - predstavlja i zastupa;07656119803;AKTIVNA
302;30.05.16;UMIROVLJENICI SLAVONIJE I BARANJE;USIB;Medulinska 17, Osijek;Jakobljević Ivan - PREDSJEDNIK - predstavlja i zastupa;42052867847;AKTIVNA
303;04.07.16;HRVATSKA SELJAČKA STRANKA - STJEPAN RADIĆ;HSS - SR;Ivekovićeva 29, Zagreb;Šoić Jurica - PREDSJEDNIK - predstavlja i zastupa: Stipac Jasenko - ZAMJENIK PREDSJEDNIKA - predstavlja i zastupa: Mesić Damir - GLAVNI TAJNIK - predstavlja i zastupa;94081525878;AKTIVNA
304;04.07.16;HRVATSKA BRANITELJSKA PUČKA STRANKA;HBPS;Usorska 50, Zagreb;Cik Zdravko - ZAMJENIK PREDSJEDNIKA - predstavlja i zastupa: Orlić Šefik - PREDSJEDNIK - predstavlja i zastupa;31105602505;AKTIVNA
305;07.07.16;PROMIJENIMO HRVATSKU;PH;Preradovićeva 44, Zagreb;Lovrinović Ivan - PREDSJEDNIK - predstavlja i zastupa;79178562440;AKTIVNA
306;19.07.16;DEMOKRATSKI SAVEZ SRBA;DSS;Draškovićeva 25, Zagreb;Radmanović Jovica - PREDSJEDNIK - predstavlja i zastupa: Manojlović Nebojša - GLAVNI SEKRETAR - zastupa;54194585459;AKTIVNA
307;26.07.16;BLOKIRANI - DEBLOKIRAJMO HRVATSKU;BLOKIRANI;Vladimira Vidrića 10, Zagreb;Kervatin Miriam - PREDSJEDNIK - predstavlja i zastupa;56518784700;AKTIVNA
308;27.07.16;SASVIM MALA STRANKA;SMS;Braće Domany 2, Zagreb;Pulić Tomislav - PREDSJEDNIK - predstavlja i zastupa;71686396869;AKTIVNA
309;29.07.16;KRILA SLOBODE HRVATSKA NACIONALISTIČKA STRANKA;KRILA SLOBODE;Kameniti stol 40, Zagreb;Kljenak Antun - PREDSJEDNIK - predstavlja i zastupa;09366070898;AKTIVNA
310;02.08.16;DUSPARA MIRKO - NEZAVISNA LISTA;DUSPARA MIRKO - NL;Horvatova 2, Slavonski Brod;Duspara Mirko - PREDSJEDNIK - predstavlja i zastupa;93296576616;AKTIVNA
311;12.08.16;MODERNA DEMOKRATSKA SNAGA;MODES;Put Dikla 27, Zadar;Dvorski Rudolf - PREDSJEDNIK - predstavlja i zastupa;10251332404;AKTIVNA
